,Address,Type,Price,Year Built,Energy Rating,Monthly Ownership Costs,List Time,City,Rooms,m2,Currency,Price Change %,Price per. m2,Price Category
165,Birkehaven 11,Villa,2695000,1980,C,2494,152 dage,Lystrup,3,113.0,DKK,"0,00",23850.0,2500000-3000000
166,Vestervang 3 Dør/lejl. 3002,Ejerlejlighed,2998000,1970,C,3748,152 dage,Aarhus C,2,72.0,DKK,"0,00",41639.0,2500000-3000000
167,"Silkeborgvej 7, 1. Dør/lejl. 2",Ejerlejlighed,2450000,2017,A2015,2210,152 dage,Aarhus C,2,52.0,DKK,"-2,00",47115.0,2000000-2500000
168,Sølykken 15,Rækkehus,3149000,2017,A2015,2240,153 dage,Hjortshøj,2,100.0,DKK,"0,00",31490.0,3000000-3500000
169,"Ravnholtvej 48, Ravnholt",Villa,3998000,1901,G,4093,154 dage,Tranbjerg J,5,216.0,DKK,"-5,00",18509.0,3500000-4000000
170,Donsvej 1A,Villa,3848000,1930,D,2725,158 dage,Brabrand,3,141.0,DKK,"-4,00",27291.0,3500000-4000000
171,Nobilisvej 9,Fritidshus,3198000,1964,N/A,2877,160 dage,Egå,2,72.0,DKK,"0,00",44417.0,3000000-3500000
172,"Engdalsvej 71A, 1. th",Ejerlejlighed,1598000,1968,C,2648,160 dage,Brabrand,3,86.0,DKK,"-6,00",18581.0,1500000-2000000
173,Sølykken 7,Rækkehus,2995000,2017,A2015,2261,160 dage,Hjortshøj,2,99.0,DKK,"0,00",30253.0,2500000-3000000
174,"Brendstrupvej 37, 2. tv, Christiansbjerg",Andelsbolig,1326841,1961,C,4439,161 dage,Aarhus N,2,88.0,DKK,"0,00",15078.0,1000000-1500000
175,"Rosenvænget 11, Løgten",Rækkehus,2998000,2017,A2010,2584,161 dage,Skødstrup,3,122.0,DKK,"0,00",24574.0,2500000-3000000
176,Engvangen 23B,Villa,4495000,1952,C,2829,168 dage,Lystrup,1,145.0,DKK,"0,00",31000.0,4000000<
177,Villadsensvej 3,Villa,6750000,1921,C,3440,172 dage,Risskov,3,132.0,DKK,"0,00",51136.0,4000000<
178,"Ormslevvej 277B, 1.",Ejerlejlighed,2495000,1974,C,2364,172 dage,Viby J,3,112.0,DKK,"0,00",22277.0,2000000-2500000
179,Pigeonvej 6,Villa,5795000,1963,D,4215,172 dage,Højbjerg,3,117.0,DKK,"-3,00",49530.0,4000000<
180,"Ladegårdsbakken 13, Spørring",Villa,2845000,1967,B,2156,173 dage,Trige,4,160.0,DKK,"0,00",17781.0,2500000-3000000
181,"Pilegårdsvej 100A, Kolt",Rækkehus,2195000,1981,C,2575,173 dage,Hasselager,3,101.0,DKK,"-5,00",21733.0,2000000-2500000
182,"Randersvej 591, Spørring",Villa,2200000,1872,D,2513,173 dage,Trige,3,241.0,DKK,"-12,00",9129.0,2000000-2500000
